_sentence,_receivers,sentence_id,time,date,latitude,longitude,altitude,satellites,temperature_internal,battery,solar_panel
"$$W7QO,75,013315,140920,34.0658,-84.0292,659,5,20,4.00,0.00*2E18",W7QO_APRS,75,01:33:15,140920,34.0658,-84.0292,659,5,20,4.0,0.0
"$$W7QO,76,013500,140920,34.0648,-84.0433,712,5,19,4.00,0.00*BD69",W7QO_APRS,76,01:35:00,140920,34.0648,-84.0433,712,5,19,4.0,0.0
"$$W7QO,77,013515,140920,34.0647,-84.0455,718,6,19,3.99,0.00*0F75",W7QO_APRS,77,01:35:15,140920,34.0647,-84.0455,718,6,19,3.99,0.0
"$$W7QO,78,013700,140920,34.0652,-84.0603,795,5,18,4.00,0.00*FB03",W7QO_APRS,78,01:37:00,140920,34.0652,-84.0603,795,5,18,4.0,0.0
"$$W7QO,79,013715,140920,34.0653,-84.0624,803,5,19,3.99,0.00*BC23",W7QO_APRS,79,01:37:15,140920,34.0653,-84.0624,803,5,19,3.99,0.0
"$$W7QO,80,013900,140920,34.0667,-84.0775,884,5,18,4.00,0.00*CFF1",W7QO_APRS,80,01:39:00,140920,34.0667,-84.0775,884,5,18,4.0,0.0
"$$W7QO,81,013915,140920,34.0672,-84.0794,901,5,18,3.99,0.00*B63F",W7QO_APRS,81,01:39:15,140920,34.0672,-84.0794,901,5,18,3.99,0.0
"$$W7QO,82,014100,140920,34.0702,-84.0932,990,5,17,3.99,0.00*5EA7",W7QO_APRS,82,01:41:00,140920,34.0702,-84.0932,990,5,17,3.99,0.0
"$$W7QO,83,014115,140920,34.0707,-84.0951,1000,5,18,3.99,0.00*900E",W7QO_APRS,83,01:41:15,140920,34.0707,-84.0951,1000,5,18,3.99,0.0
"$$W7QO,86,014500,140920,34.0783,-84.1220,1178,5,16,3.99,0.00*9C9B",W7QO_APRS,86,01:45:00,140920,34.0783,-84.122,1178,5,16,3.99,0.0
"$$W7QO,87,014515,140920,34.0788,-84.1237,1190,5,16,3.99,0.00*38B6",W7QO_APRS,87,01:45:15,140920,34.0788,-84.1237,1190,5,16,3.99,0.0
"$$W7QO,88,014700,140920,34.0824,-84.1354,1271,5,15,3.98,0.00*17CF",W7QO_APRS,88,01:47:00,140920,34.0824,-84.1354,1271,5,15,3.98,0.0
"$$W7QO,89,014715,140920,34.0830,-84.1371,1281,4,15,3.98,0.00*3DCD",W7QO_APRS,89,01:47:15,140920,34.083,-84.1371,1281,4,15,3.98,0.0
"$$W7QO,90,014900,140920,34.0864,-84.1484,1363,5,14,3.98,0.00*2EB7",W7QO_APRS,90,01:49:00,140920,34.0864,-84.1484,1363,5,14,3.98,0.0
"$$W7QO,91,014915,140920,34.0869,-84.1500,1374,4,14,3.98,0.00*7356",W7QO_APRS,91,01:49:15,140920,34.0869,-84.15,1374,4,14,3.98,0.0
"$$W7QO,92,015100,140920,34.0902,-84.1612,1439,4,14,3.98,0.00*EAB8",W7QO_APRS,92,01:51:00,140920,34.0902,-84.1612,1439,4,14,3.98,0.0
"$$W7QO,93,015115,140920,34.0907,-84.1628,1444,5,14,3.98,0.00*52C1",W7QO_APRS,93,01:51:15,140920,34.0907,-84.1628,1444,5,14,3.98,0.0
"$$W7QO,94,015300,140920,34.0941,-84.1745,1515,5,13,3.98,0.00*DD57",W7QO_APRS,94,01:53:00,140920,34.0941,-84.1745,1515,5,13,3.98,0.0
"$$W7QO,95,015315,140920,34.0946,-84.1762,1518,5,13,3.98,0.00*6E3C",W7QO_APRS,95,01:53:15,140920,34.0946,-84.1762,1518,5,13,3.98,0.0
"$$W7QO,96,015500,140920,34.0946,-84.1762,1518,5,12,3.98,0.00*AB8E",W7QO_APRS,96,01:55:00,140920,34.0946,-84.1762,1518,5,12,3.98,0.0
"$$W7QO,97,015515,140920,34.0946,-84.1762,1518,5,13,3.98,0.00*14B2",W7QO_APRS,97,01:55:15,140920,34.0946,-84.1762,1518,5,13,3.98,0.0
"$$W7QO,98,015700,140920,34.1030,-84.1994,1681,7,12,3.98,0.00*4E80",W7QO_APRS,98,01:57:00,140920,34.103,-84.1994,1681,7,12,3.98,0.0
"$$W7QO,99,015715,140920,34.1036,-84.2009,1685,6,12,3.98,0.00*8E71",W7QO_APRS,99,01:57:15,140920,34.1036,-84.2009,1685,6,12,3.98,0.0
"$$W7QO,100,015900,140920,34.1074,-84.2110,1746,7,11,3.98,0.00*5658",W7QO_APRS,100,01:59:00,140920,34.1074,-84.211,1746,7,11,3.98,0.0
"$$W7QO,102,020100,140920,34.1111,-84.2225,1825,7,11,3.98,0.00*49B6",W7QO_APRS,102,02:01:00,140920,34.1111,-84.2225,1825,7,11,3.98,0.0
"$$W7QO,103,020115,140920,34.1115,-84.2240,1832,7,11,3.98,0.00*BC7E",W7QO_APRS,103,02:01:15,140920,34.1115,-84.224,1832,7,11,3.98,0.0
"$$W7QO,104,020300,140920,34.1146,-84.2337,1914,7,10,3.98,0.00*6204",W7QO_APRS,104,02:03:00,140920,34.1146,-84.2337,1914,7,10,3.98,0.0
"$$W7QO,105,020315,140920,34.1151,-84.2350,1926,7,10,3.98,0.00*B03B",W7QO_APRS,105,02:03:15,140920,34.1151,-84.235,1926,7,10,3.98,0.0
"$$W7QO,106,020500,140920,34.1181,-84.2439,2012,8,10,3.98,0.00*1E65",W7QO_APRS,106,02:05:00,140920,34.1181,-84.2439,2012,8,10,3.98,0.0
"$$W7QO,107,020515,140920,34.1184,-84.2451,2029,7,10,3.98,0.00*B477",W7QO_APRS,107,02:05:15,140920,34.1184,-84.2451,2029,7,10,3.98,0.0
"$$W7QO,108,020700,140920,34.1206,-84.2538,2116,7,9,3.98,0.00*A33B",W7QO_APRS,108,02:07:00,140920,34.1206,-84.2538,2116,7,9,3.98,0.0
"$$W7QO,109,020715,140920,34.1209,-84.2551,2124,8,10,3.98,0.00*56E9",W7QO_APRS,109,02:07:15,140920,34.1209,-84.2551,2124,8,10,3.98,0.0
"$$W7QO,110,020900,140920,34.1230,-84.2633,2197,7,9,3.98,0.00*FDF3",W7QO_APRS,110,02:09:00,140920,34.123,-84.2633,2197,7,9,3.98,0.0
"$$W7QO,111,020915,140920,34.1233,-84.2644,2202,7,9,3.98,0.00*1885",W7QO_APRS,111,02:09:15,140920,34.1233,-84.2644,2202,7,9,3.98,0.0
"$$W7QO,112,021100,140920,34.1252,-84.2718,2251,7,8,3.98,0.00*F31F",W7QO_APRS,112,02:11:00,140920,34.1252,-84.2718,2251,7,8,3.98,0.0
"$$W7QO,113,021115,140920,34.1254,-84.2728,2255,7,8,3.98,0.00*DCAD",W7QO_APRS,113,02:11:15,140920,34.1254,-84.2728,2255,7,8,3.98,0.0
"$$W7QO,114,021300,140920,34.1270,-84.2800,2292,7,8,3.98,0.00*8DA3",W7QO_APRS,114,02:13:00,140920,34.127,-84.28,2292,7,8,3.98,0.0
"$$W7QO,115,021315,140920,34.1273,-84.2810,2296,8,8,3.98,0.00*DB93",W7QO_APRS,115,02:13:15,140920,34.1273,-84.281,2296,8,8,3.98,0.0
"$$W7QO,116,021500,140920,34.1287,-84.2885,2366,7,7,3.98,0.00*1715",W7QO_APRS,116,02:15:00,140920,34.1287,-84.2885,2366,7,7,3.98,0.0
"$$W7QO,117,021515,140920,34.1289,-84.2895,2371,7,8,3.98,0.00*B48F",W7QO_APRS,117,02:15:15,140920,34.1289,-84.2895,2371,7,8,3.98,0.0
"$$W7QO,118,021700,140920,34.1302,-84.2969,2453,7,7,3.98,0.00*A3DB",W7QO_APRS,118,02:17:00,140920,34.1302,-84.2969,2453,7,7,3.98,0.0
"$$W7QO,119,021715,140920,34.1303,-84.2979,2462,7,7,3.98,0.00*1857",W7QO_APRS,119,02:17:15,140920,34.1303,-84.2979,2462,7,7,3.98,0.0
"$$W7QO,120,021900,140920,34.1318,-84.3056,2537,7,6,3.97,0.00*ACB6",W7QO_APRS,120,02:19:00,140920,34.1318,-84.3056,2537,7,6,3.97,0.0
"$$W7QO,121,021915,140920,34.1320,-84.3067,2542,7,6,3.97,0.00*9E34",W7QO_APRS,121,02:19:15,140920,34.132,-84.3067,2542,7,6,3.97,0.0
"$$W7QO,122,022100,140920,34.1338,-84.3144,2620,7,6,3.97,0.00*55D9",W7QO_APRS,122,02:21:00,140920,34.1338,-84.3144,2620,7,6,3.97,0.0
"$$W7QO,123,022115,140920,34.1340,-84.3155,2625,7,6,3.97,0.00*9075",W7QO_APRS,123,02:21:15,140920,34.134,-84.3155,2625,7,6,3.97,0.0
"$$W7QO,124,022300,140920,34.1359,-84.3232,2694,8,5,3.97,0.00*8235",W7QO_APRS,124,02:23:00,140920,34.1359,-84.3232,2694,8,5,3.97,0.0
"$$W7QO,125,022315,140920,34.1361,-84.3242,2705,8,5,3.97,0.00*B8D1",W7QO_APRS,125,02:23:15,140920,34.1361,-84.3242,2705,8,5,3.97,0.0
"$$W7QO,126,022500,140920,34.1367,-84.3310,2754,7,5,3.97,0.00*DBD2",W7QO_APRS,126,02:25:00,140920,34.1367,-84.331,2754,7,5,3.97,0.0
"$$W7QO,127,022515,140920,34.1367,-84.3319,2765,7,5,3.97,0.00*CD44",W7QO_APRS,127,02:25:15,140920,34.1367,-84.3319,2765,7,5,3.97,0.0
"$$W7QO,128,022700,140920,34.1368,-84.3378,2832,7,5,3.97,0.00*9756",W7QO_APRS,128,02:27:00,140920,34.1368,-84.3378,2832,7,5,3.97,0.0
"$$W7QO,129,022715,140920,34.1367,-84.3386,2843,7,5,3.97,0.00*4ADA",W7QO_APRS,129,02:27:15,140920,34.1367,-84.3386,2843,7,5,3.97,0.0
"$$W7QO,130,022900,140920,34.1361,-84.3438,2936,7,4,3.97,0.00*186E",W7QO_APRS,130,02:29:00,140920,34.1361,-84.3438,2936,7,4,3.97,0.0
"$$W7QO,131,022915,140920,34.1360,-84.3446,2948,8,4,3.97,0.00*61D5",W7QO_APRS,131,02:29:15,140920,34.136,-84.3446,2948,8,4,3.97,0.0
"$$W7QO,132,023100,140920,34.1359,-84.3498,3037,8,4,3.97,0.00*DA27",W7QO_APRS,132,02:31:00,140920,34.1359,-84.3498,3037,8,4,3.97,0.0
"$$W7QO,133,023115,140920,34.1359,-84.3505,3049,7,4,3.97,0.00*7377",W7QO_APRS,133,02:31:15,140920,34.1359,-84.3505,3049,7,4,3.97,0.0
"$$W7QO,134,023300,140920,34.1362,-84.3552,3117,8,3,3.97,0.00*95FE",W7QO_APRS,134,02:33:00,140920,34.1362,-84.3552,3117,8,3,3.97,0.0
"$$W7QO,135,023315,140920,34.1362,-84.3558,3123,8,3,3.97,0.00*E8F3",W7QO_APRS,135,02:33:15,140920,34.1362,-84.3558,3123,8,3,3.97,0.0
"$$W7QO,136,023500,140920,34.1362,-84.3600,3174,8,2,3.97,0.00*4BF9",W7QO_APRS,136,02:35:00,140920,34.1362,-84.36,3174,8,2,3.97,0.0
"$$W7QO,137,023515,140920,34.1362,-84.3605,3180,7,3,3.97,0.00*8B18",W7QO_APRS,137,02:35:15,140920,34.1362,-84.3605,3180,7,3,3.97,0.0
"$$W7QO,138,023700,140920,34.1355,-84.3637,3264,8,2,3.97,0.00*160A",W7QO_APRS,138,02:37:00,140920,34.1355,-84.3637,3264,8,2,3.97,0.0
"$$W7QO,139,023715,140920,34.1353,-84.3641,3277,8,2,3.96,0.00*76BA",W7QO_APRS,139,02:37:15,140920,34.1353,-84.3641,3277,8,2,3.96,0.0
"$$W7QO,140,023900,140920,34.1340,-84.3673,3390,8,2,3.97,0.00*F916",W7QO_APRS,140,02:39:00,140920,34.134,-84.3673,3390,8,2,3.97,0.0
"$$W7QO,141,023915,140920,34.1338,-84.3678,3404,8,2,3.96,0.00*1FC0",W7QO_APRS,141,02:39:15,140920,34.1338,-84.3678,3404,8,2,3.96,0.0
"$$W7QO,142,024100,140920,34.1326,-84.3720,3493,7,2,3.96,0.00*871C",W7QO_APRS,142,02:41:00,140920,34.1326,-84.372,3493,7,2,3.96,0.0
"$$W7QO,143,024115,140920,34.1325,-84.3726,3507,7,2,3.96,0.00*D161",W7QO_APRS,143,02:41:15,140920,34.1325,-84.3726,3507,7,2,3.96,0.0
"$$W7QO,144,024300,140920,34.1307,-84.3774,3571,8,1,3.96,0.00*FC30",W7QO_APRS,144,02:43:00,140920,34.1307,-84.3774,3571,8,1,3.96,0.0
"$$W7QO,145,024315,140920,34.1304,-84.3781,3571,8,1,3.96,0.00*009F",W7QO_APRS,145,02:43:15,140920,34.1304,-84.3781,3571,8,1,3.96,0.0
"$$W7QO,146,024500,140920,34.1282,-84.3830,3650,7,1,3.96,0.00*9373",W7QO_APRS,146,02:45:00,140920,34.1282,-84.383,3650,7,1,3.96,0.0
"$$W7QO,147,024515,140920,34.1280,-84.3836,3657,7,1,3.96,0.00*7F8E",W7QO_APRS,147,02:45:15,140920,34.128,-84.3836,3657,7,1,3.96,0.0
"$$W7QO,148,024700,140920,34.1262,-84.3880,3746,8,0,3.96,0.00*F030",W7QO_APRS,148,02:47:00,140920,34.1262,-84.388,3746,8,0,3.96,0.0
"$$W7QO,149,024715,140920,34.1260,-84.3885,3761,8,0,3.96,0.00*0271",W7QO_APRS,149,02:47:15,140920,34.126,-84.3885,3761,8,0,3.96,0.0
"$$W7QO,150,024900,140920,34.1248,-84.3919,3837,7,0,3.96,0.00*446B",W7QO_APRS,150,02:49:00,140920,34.1248,-84.3919,3837,7,0,3.96,0.0
"$$W7QO,151,024915,140920,34.1245,-84.3923,3852,8,0,3.96,0.00*E4CF",W7QO_APRS,151,02:49:15,140920,34.1245,-84.3923,3852,8,0,3.96,0.0
"$$W7QO,152,025100,140920,34.1220,-84.3943,3915,7,-0,3.96,0.00*FC1D",W7QO_APRS,152,02:51:00,140920,34.122,-84.3943,3915,7,0,3.96,0.0
"$$W7QO,153,025115,140920,34.1216,-84.3945,3922,7,-0,3.96,0.00*AABF",W7QO_APRS,153,02:51:15,140920,34.1216,-84.3945,3922,7,0,3.96,0.0
"$$W7QO,154,025300,140920,34.1190,-84.3962,4009,8,-1,3.94,0.00*58D3",W7QO_APRS,154,02:53:00,140920,34.119,-84.3962,4009,8,-1,3.94,0.0
"$$W7QO,156,025500,140920,34.1155,-84.3986,4131,8,-1,3.96,0.00*382F",W7QO_APRS,156,02:55:00,140920,34.1155,-84.3986,4131,8,-1,3.96,0.0
"$$W7QO,157,025515,140920,34.1150,-84.3989,4148,7,-1,3.95,0.00*2A4D",W7QO_APRS,157,02:55:15,140920,34.115,-84.3989,4148,7,-1,3.95,0.0
"$$W7QO,158,025700,140920,34.1124,-84.4007,4223,7,-2,3.96,0.00*01A9",W7QO_APRS,158,02:57:00,140920,34.1124,-84.4007,4223,7,-2,3.96,0.0
"$$W7QO,159,025715,140920,34.1122,-84.4008,4240,7,-2,3.95,0.00*D289",W7QO_APRS,159,02:57:15,140920,34.1122,-84.4008,4240,7,-2,3.95,0.0
"$$W7QO,160,025900,140920,34.1101,-84.4023,4291,8,-2,3.95,0.00*D6FE",W7QO_APRS,160,02:59:00,140920,34.1101,-84.4023,4291,8,-2,3.95,0.0
"$$W7QO,162,030100,140920,34.1078,-84.4046,4369,8,-2,3.95,0.00*BB61",W7QO_APRS,162,03:01:00,140920,34.1078,-84.4046,4369,8,-2,3.95,0.0
"$$W7QO,163,030115,140920,34.1075,-84.4050,4378,8,-2,3.95,0.00*B0E7",W7QO_APRS,163,03:01:15,140920,34.1075,-84.405,4378,8,-2,3.95,0.0
"$$W7QO,164,030300,140920,34.1056,-84.4073,4466,8,-2,3.95,0.00*C406",W7QO_APRS,164,03:03:00,140920,34.1056,-84.4073,4466,8,-2,3.95,0.0
"$$W7QO,165,030315,140920,34.1053,-84.4076,4475,8,-2,3.95,0.00*C4F2",W7QO_APRS,165,03:03:15,140920,34.1053,-84.4076,4475,8,-2,3.95,0.0
"$$W7QO,166,030500,140920,34.1032,-84.4091,4575,8,-3,3.95,0.00*C729",W7QO_APRS,166,03:05:00,140920,34.1032,-84.4091,4575,8,-3,3.95,0.0
"$$W7QO,167,030515,140920,34.1029,-84.4093,4584,8,-3,3.95,0.00*9BFB",W7QO_APRS,167,03:05:15,140920,34.1029,-84.4093,4584,8,-3,3.95,0.0
"$$W7QO,168,030700,140920,34.1009,-84.4100,4695,8,-4,3.95,0.00*3398",W7QO_APRS,168,03:07:00,140920,34.1009,-84.41,4695,8,-4,3.95,0.0
"$$W7QO,169,030715,140920,34.1007,-84.4100,4704,8,-4,3.94,0.00*A010",W7QO_APRS,169,03:07:15,140920,34.1007,-84.41,4704,8,-4,3.94,0.0
"$$W7QO,170,030900,140920,34.0992,-84.4098,4799,8,-5,3.94,0.00*6282",W7QO_APRS,170,03:09:00,140920,34.0992,-84.4098,4799,8,-5,3.94,0.0
"$$W7QO,171,030915,140920,34.0990,-84.4098,4809,8,-5,3.94,0.00*8181",W7QO_APRS,171,03:09:15,140920,34.099,-84.4098,4809,8,-5,3.94,0.0
"$$W7QO,172,031100,140920,34.0972,-84.4093,4896,6,-6,3.94,0.00*1577",W7QO_APRS,172,03:11:00,140920,34.0972,-84.4093,4896,6,-6,3.94,0.0
"$$W7QO,173,031115,140920,34.0969,-84.4092,4906,7,-6,3.94,0.00*66A6",W7QO_APRS,173,03:11:15,140920,34.0969,-84.4092,4906,7,-6,3.94,0.0
"$$W7QO,174,031300,140920,34.0943,-84.4095,4985,8,-6,3.93,0.00*E2D3",W7QO_APRS,174,03:13:00,140920,34.0943,-84.4095,4985,8,-6,3.93,0.0
"$$W7QO,176,031500,140920,34.0910,-84.4117,5106,8,-7,3.93,0.00*0DB2",W7QO_APRS,176,03:15:00,140920,34.091,-84.4117,5106,8,-7,3.93,0.0
